Fasta headers	Protein IDs	Majority protein IDs	Norm_abundance_PAD4_rep1	Norm_abundance_PAD4_rep2	Norm_abundance_PAD4_rep3	Norm_abundance_PAD4_rep4	Norm_abundance_YFP_rep1	Norm_abundance_YFP_rep2	Norm_abundance_YFP_rep3	Norm_abundance_YFP_rep4	log2_PAD4_vs_YFP	pval_PAD4_vs_YFP
AT1G21065.1 | Symbols:  | unknown protein;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast;EXPRESSED IN: 22 plant structures;EXPRESSED DURING: 13 growth stages;CONTAINS InterPro DOMAIN/s: Uncharacterised protein family UPF0047 (InterPro	AT1G21065.1	AT1G21065.1	22.31349	22.56318	21.89781	22.04963	22.00775	22.28373	21.444	20.27965	0.702244759	0.18376607
AT1G21130.1 | Symbols:  | O-methyltransferase family protein | chr1:7399170-7400470 REVERSE LENGTH=373;AT1G21130.2 | Symbols:  | O-methyltransferase family protein | chr1:7399489-7400470 REVERSE LENGTH=296	AT1G21130.1;AT1G21130.2;AT1G21120.1;AT1G21110.1;AT1G21100.1	AT1G21130.1;AT1G21130.2	19.09295	19.03765	21.89966	21.65163	20.67919	21.56513	20.16204	21.25875	-0.495804787	0.578186656
"AT1G21250.1 | Symbols: WAK1, PRO25 | cell wall-associated kinase | chr1:7439512-7441892 FORWARD LENGTH=735;AT1G21240.1 | Symbols: WAK3 | wall associated kinase 3 | chr1:7434303-7436702 FORWARD LENGTH=741"	AT1G21250.1;AT1G21240.1;AT1G16260.2;AT1G16260.1;AT1G21270.1;AT1G21230.1;AT1G21210.1;AT1G19390.1;AT1G69730.1	AT1G21250.1;AT1G21240.1	23.57762	23.51304	23.90399	23.99058	20.19556	23.13453	23.76192	23.32265	1.142638206	0.213847588
AT1G21600.2 | Symbols: PTAC6 | plastid transcriptionally active 6 | chr1:7571514-7573782 REVERSE LENGTH=328;AT1G21600.1 | Symbols: PTAC6 | plastid transcriptionally active 6 | chr1:7571514-7573782 REVERSE LENGTH=328	AT1G21600.2;AT1G21600.1	AT1G21600.2;AT1G21600.1	22.77443	22.57738	22.33254	19.99306	20.56456	19.9441	22.11899	20.97658	1.018299103	0.246938844
AT1G21630.1 | Symbols:  | Calcium-binding EF hand family protein | chr1:7581457-7587796 FORWARD LENGTH=1218;AT1G21630.2 | Symbols:  | Calcium-binding EF hand family protein | chr1:7581457-7587796 FORWARD LENGTH=1247	AT1G21630.1;AT1G21630.2	AT1G21630.1;AT1G21630.2	19.43227	20.48168	20.97526	20.76983	20.87583	19.68633	20.03809	19.49944	0.389837265	0.428009402
"AT1G21670.1 | Symbols:  | LOCATED IN: cell wall, plant-type cell wall;EXPRESSED IN: 23 plant structures;EXPRESSED DURING: 14 growth stages;CONTAINS InterPro DOMAIN/s: WD40-like Beta Propeller (InterPro:IPR011659), Six-bladed beta-propeller, TolB-like (I"	AT1G21670.1	AT1G21670.1	19.32147	19.13268	20.03646	20.522	26.59434	25.84036	26.48843	26.5161	-6.606655121	1.86E-06
AT1G21680.1 | Symbols:  | DPP6 N-terminal domain-like protein | chr1:7613028-7615148 FORWARD LENGTH=706	AT1G21680.1	AT1G21680.1	19.49128	19.51493	20.56937	18.0247	21.89341	19.08167	20.60126	20.33735	-1.078351974	0.215185529
"AT1G21750.1 | Symbols: ATPDIL1-1, ATPDI5, PDI5, PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648514 FORWARD LENGTH=501;AT1G21750.2 | Symbols: ATPDIL1-1, PDIL1-1 | PDI-like 1-1 | chr1:7645767-7648695 FORWARD LENGTH=487"	AT1G21750.1;AT1G21750.2	AT1G21750.1;AT1G21750.2	23.68089	22.71121	22.78281	22.62035	31.01345	30.50323	30.51484	29.00024	-7.309124947	6.47E-06
AT1G22280.1 | Symbols: PAPP2C | phytochrome-associated protein phosphatase type 2C | chr1:7874236-7875496 FORWARD LENGTH=281;AT1G22280.3 | Symbols: PAPP2C | phytochrome-associated protein phosphatase type 2C | chr1:7874236-7875496 FORWARD LENGTH=287;AT1G22	AT1G22280.1;AT1G22280.3;AT1G22280.2	AT1G22280.1;AT1G22280.3;AT1G22280.2	24.18268	24.41487	24.2094	23.12978	21.06131	21.03275	20.40316	21.33434	3.026292801	0.000132217
"AT1G22300.2 | Symbols: GRF10, GF14 EPSILON | general regulatory factor 10 | chr1:7879244-7881103 REVERSE LENGTH=254;AT1G22300.1 | Symbols: GRF10, 14-3-3EPSILON, GF14 EPSILON | general regulatory factor 10 | chr1:7879146-7881103 REVERSE LENGTH=254;AT1G22300"	AT1G22300.2;AT1G22300.1;AT1G22300.3	AT1G22300.2;AT1G22300.1;AT1G22300.3	24.42368	24.01206	24.9627	24.01903	18.9959	23.22723	19.951	21.16466	3.519668102	0.009566532
"AT1G22360.2 | Symbols: AtUGT85A2, UGT85A2 | UDP-glucosyl transferase 85A2 | chr1:7895068-7897527 REVERSE LENGTH=469;AT1G22360.1 | Symbols: AtUGT85A2, UGT85A2 | UDP-glucosyl transferase 85A2 | chr1:7895068-7897527 REVERSE LENGTH=481"	AT1G22360.2;AT1G22360.1;AT1G22380.1	AT1G22360.2;AT1G22360.1	23.24329	22.24714	25.06065	24.33067	23.65916	22.5511	21.30725	23.2932	1.017759323	0.25367666
"AT1G22400.1 | Symbols: UGT85A1, ATUGT85A1 | UDP-Glycosyltransferase superfamily protein | chr1:7903851-7906607 REVERSE LENGTH=489"	AT1G22400.1	AT1G22400.1	21.75483	22.15814	21.82085	22.0314	18.82476	18.61838	20.30063	20.57679	2.361163616	0.003554354
AT1G22410.1 | Symbols:  | Class-II DAHP synthetase family protein | chr1:7912120-7914742 FORWARD LENGTH=527	AT1G22410.1	AT1G22410.1	25.88143	26.06219	25.62586	26.31767	26.00447	25.88444	25.49987	25.52937	0.242252827	0.25657483
AT1G22430.2 | Symbols:  | GroES-like zinc-binding dehydrogenase family protein | chr1:7919235-7921594 FORWARD LENGTH=388;AT1G22430.1 | Symbols:  | GroES-like zinc-binding dehydrogenase family protein | chr1:7919235-7921594 FORWARD LENGTH=388	AT1G22430.2;AT1G22430.1	AT1G22430.2;AT1G22430.1	23.3009	23.6698	23.63688	23.63412	19.37887	22.87314	19.9238	20.35701	2.92721653	0.009363675
AT1G22530.1 | Symbols: PATL2 | PATELLIN 2 | chr1:7955773-7958326 REVERSE LENGTH=683	AT1G22530.1	AT1G22530.1	22.1038	22.48841	22.03936	21.61544	20.39283	19.89969	20.44556	20.63877	1.717541695	0.000359907
AT1G22610.1 | Symbols:  | C2 calcium/lipid-binding plant phosphoribosyltransferase family protein | chr1:7994478-7997567 FORWARD LENGTH=1029	AT1G22610.1	AT1G22610.1	20.27898	20.25922	19.20336	20.42241	23.60535	23.61313	24.07415	23.26842	-3.599271297	3.32E-05
"AT1G22710.1 | Symbols: SUC2, SUT1, ATSUC2 | sucrose-proton symporter 2 | chr1:8030911-8032970 REVERSE LENGTH=512"	AT1G22710.1	AT1G22710.1	22.98334	22.56365	21.70645	22.71371	24.01725	23.68014	18.44949	20.4818	0.834618092	0.562381827
AT1G22850.1 | Symbols:  | SNARE associated Golgi protein family | chr1:8080671-8082816 REVERSE LENGTH=344	AT1G22850.1	AT1G22850.1	21.31683	20.57422	22.74499	22.14697	20.13441	21.42607	21.11206	21.04059	0.767472744	0.212370265
"AT1G22940.1 | Symbols: TH1, TH-1, THIE | thiamin biosynthesis protein, putative | chr1:8122384-8124908 FORWARD LENGTH=522"	AT1G22940.1	AT1G22940.1	21.76507	21.53531	21.86839	20.84934	19.0726	20.21169	19.94854	20.10414	1.67027998	0.002929822
AT1G23190.1 | Symbols: PGM3 | Phosphoglucomutase/phosphomannomutase family protein | chr1:8219946-8224186 FORWARD LENGTH=583	AT1G23190.1	AT1G23190.1	25.72619	25.55254	25.3097	24.87441	25.06275	24.84546	24.07366	24.24016	0.810202599	0.035683205
"AT1G23310.1 | Symbols: GGT1, AOAT1, GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268720-8271329 REVERSE LENGTH=481;AT1G23310.2 | Symbols: GGT1, AOAT1, GGAT1 | glutamate:glyoxylate aminotransferase | chr1:8268808-8271329 REVERSE LENGTH=441"	AT1G23310.1;AT1G23310.2;AT1G70580.4;AT1G70580.3;AT1G70580.2;AT1G70580.1	AT1G23310.1;AT1G23310.2	26.15702	26.39782	26.07877	25.85944	27.9433	27.72293	27.81372	28.29285	-1.819937706	3.57E-05
AT1G24020.2 | Symbols: MLP423 | MLP-like protein 423 | chr1:8500653-8501458 REVERSE LENGTH=155;AT1G24020.1 | Symbols: MLP423 | MLP-like protein 423 | chr1:8500653-8501458 REVERSE LENGTH=155	AT1G24020.2;AT1G24020.1	AT1G24020.2;AT1G24020.1	24.90953	24.58761	25.24038	24.93701	25.12139	25.32179	24.2446	25.41235	-0.106398582	0.733795076
AT1G24300.2 | Symbols:  | GYF domain-containing protein | chr1:8614515-8620420 REVERSE LENGTH=1490;AT1G24300.1 | Symbols:  | GYF domain-containing protein | chr1:8614515-8620420 REVERSE LENGTH=1495	AT1G24300.2;AT1G24300.1	AT1G24300.2;AT1G24300.1	23.2781	24.92886	24.56069	23.07199	20.703	20.3688	21.47085	21.18616	3.027709007	0.00115845
AT1G24510.2 | Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:8685504-8687660 REVERSE LENGTH=459;AT1G24510.1 | Symbols:  | TCP-1/cpn60 chaperonin family protein | chr1:8685504-8688101 REVERSE LENGTH=535	AT1G24510.2;AT1G24510.1	AT1G24510.2;AT1G24510.1	23.34381	22.96362	23.82561	22.73608	23.02879	23.43936	22.98433	23.8918	-0.118794441	0.722234652
AT1G24610.1 | Symbols:  | Rubisco methyltransferase family protein | chr1:8720906-8722711 REVERSE LENGTH=476	AT1G24610.1	AT1G24610.1	22.11655	21.08336	20.72916	20.1043	19.23364	19.35023	19.32899	19.72998	1.597630024	0.010439701
AT1G25155.1 | Symbols:  | Glutamine amidotransferase type 1 family protein | chr1:8823052-8824821 REVERSE LENGTH=222;AT1G25083.1 | Symbols:  | Glutamine amidotransferase type 1 family protein | chr1:8808674-8810443 REVERSE LENGTH=222;AT1G24909.1 | Symbols:	AT1G25155.1;AT1G25083.1;AT1G24909.1;AT1G24807.1;AT5G57890.1;AT1G25220.1;AT1G25220.2	AT1G25155.1;AT1G25083.1;AT1G24909.1;AT1G24807.1;AT5G57890.1;AT1G25220.1;AT1G25220.2	21.79618	22.31033	21.70421	21.98885	19.7019	19.10333	19.37393	19.19932	2.605271339	8.74E-06
"AT1G25450.1 | Symbols: KCS5, CER60 | 3-ketoacyl-CoA synthase 5 | chr1:8938679-8940282 REVERSE LENGTH=492;AT1G68530.1 | Symbols: CUT1, POP1, CER6, G2, KCS6 | 3-ketoacyl-CoA synthase 6 | chr1:25712881-25714733 REVERSE LENGTH=497"	AT1G25450.1;AT1G68530.1	AT1G25450.1;AT1G68530.1	21.19003	19.06946	21.13752	21.90628	19.95424	20.82376	20.33908	21.08522	0.275247574	0.691588497
"AT1G25490.1 | Symbols: RCN1, REGA, ATB BETA BETA, EER1 | ARM repeat superfamily protein | chr1:8951700-8954899 FORWARD LENGTH=588"	AT1G25490.1	AT1G25490.1	24.0757	23.77966	24.15507	24.03406	25.294	25.06562	26.00089	25.60781	-1.480957508	0.000502903
"AT1G26630.1 | Symbols: FBR12, ATELF5A-2, ELF5A-2 | Eukaryotic translation initiation factor 5A-1 (eIF-5A 1) protein | chr1:9205968-9207098 FORWARD LENGTH=159;AT1G26630.2 | Symbols: FBR12, ATELF5A-2, ELF5A-2 | Eukaryotic translation initiation factor 5A-1 ("	AT1G26630.1;AT1G26630.2;AT1G69410.1;AT1G13950.1	AT1G26630.1;AT1G26630.2;AT1G69410.1;AT1G13950.1	22.89173	22.83414	23.81841	24.25032	21.16409	24.67147	23.94351	19.55542	1.115026951	0.405082887
AT1G27090.1 | Symbols:  | glycine-rich protein | chr1:9404041-9406098 REVERSE LENGTH=420	AT1G27090.1	AT1G27090.1	22.71756	22.80776	23.20535	23.36319	22.44695	22.72013	22.66703	23.88697	0.093195438	0.804121423
"AT1G27130.1 | Symbols: ATGSTU13, GST12, GSTU13 | glutathione S-transferase tau 13 | chr1:9425582-9426597 FORWARD LENGTH=227"	AT1G27130.1	AT1G27130.1	22.71219	23.1842	22.68513	22.55609	19.20639	23.21132	21.70691	21.83846	1.29363203	0.176774899
AT1G27430.1 | Symbols:  | GYF domain-containing protein | chr1:9521045-9526928 REVERSE LENGTH=1492	AT1G27430.1	AT1G27430.1	23.19304	23.89384	23.18737	23.65371	22.81363	23.3306	23.62801	22.42368	0.433011532	0.225024151
"AT1G27450.1 | Symbols: APT1, ATAPT1 | adenine phosphoribosyl transferase 1 | chr1:9532042-9533807 FORWARD LENGTH=243;AT1G27450.3 | Symbols: APT1 | adenine phosphoribosyl transferase 1 | chr1:9532042-9533807 FORWARD LENGTH=284;AT1G27450.2 | Symbols: APT1, A"	AT1G27450.1;AT1G27450.3;AT1G27450.2	AT1G27450.1;AT1G27450.3;AT1G27450.2	20.29162	22.20099	22.38395	18.78863	18.81634	18.81491	19.20131	21.77218	1.265117645	0.298340498
AT1G28290.2 | Symbols: AGP31 | arabinogalactan protein 31 | chr1:9889331-9890843 REVERSE LENGTH=315;AT1G28290.1 | Symbols: AGP31 | arabinogalactan protein 31 | chr1:9889331-9890843 REVERSE LENGTH=359	AT1G28290.2;AT1G28290.1	AT1G28290.2;AT1G28290.1	22.76302	22.82063	23.11694	22.42668	19.9421	20.10904	20.58555	20.08968	2.600225449	1.23E-05
"AT1G29150.1 | Symbols: ATS9, RPN6 | non-ATPase subunit 9 | chr1:10181240-10182499 FORWARD LENGTH=419"	AT1G29150.1	AT1G29150.1	24.51761	24.56663	24.98464	25.37474	22.30608	22.83673	23.9729	24.3908	1.484277248	0.030033764
AT1G29250.1 | Symbols:  | Alba DNA/RNA-binding protein | chr1:10223461-10224592 REVERSE LENGTH=130	AT1G29250.1	AT1G29250.1	20.20524	21.13017	19.51768	20.83459	23.47209	23.83161	24.12715	25.87296	-3.904033661	0.000897301
AT1G29670.1 | Symbols:  | GDSL-like Lipase/Acylhydrolase superfamily protein | chr1:10375843-10377717 FORWARD LENGTH=363	AT1G29670.1	AT1G29670.1	24.78377	24.72645	24.76253	24.78017	26.71738	26.61288	27.40397	26.33113	-2.003111362	0.000120676
AT1G29790.2 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:10430025-10431161 FORWARD LENGTH=378;AT1G29790.1 | Symbols:  | S-adenosyl-L-methionine-dependent methyltransferases superfamily protein | chr1:1043002	AT1G29790.2;AT1G29790.1	AT1G29790.2;AT1G29790.1	22.63318	22.12626	22.4279	22.9041	21.03449	19.83314	19.87175	19.80729	2.386188984	0.000428684
AT1G29880.1 | Symbols:  | glycyl-tRNA synthetase / glycine--tRNA ligase | chr1:10459662-10462781 REVERSE LENGTH=729	AT1G29880.1	AT1G29880.1	24.14523	23.5559	23.47445	22.70375	19.94992	23.61122	22.88372	23.21036	1.056029797	0.278076261
AT1G29900.1 | Symbols: CARB | carbamoyl phosphate synthetase B | chr1:10468164-10471976 FORWARD LENGTH=1187	AT1G29900.1	AT1G29900.1	24.78781	25.41364	24.91137	22.6856	24.63583	23.09317	20.93728	23.04745	1.52117157	0.167863066
"AT1G29930.1 | Symbols: CAB1, AB140, CAB140, LHCB1.3 | chlorophyll A/B binding protein 1 | chr1:10478071-10478874 FORWARD LENGTH=267"	AT1G29930.1	AT1G29930.1	30.26103	29.83082	29.85921	29.92691	27.13829	24.91752	20.60438	27.14725	5.017632961	0.017487649
"AT1G30230.1 | Symbols:  | Glutathione S-transferase, C-terminal-like;Translation elongation  factor EF1B/ribosomal protein S6 | chr1:10639286-10640515 FORWARD LENGTH=231;AT1G30230.2 | Symbols:  | Glutathione S-transferase, C-terminal-like;Translation elong"	AT1G30230.1;AT1G30230.2;AT2G18110.1	AT1G30230.1;AT1G30230.2;AT2G18110.1	22.55161	23.34814	23.46936	23.69742	24.86552	23.42393	23.05165	21.71523	0.002548695	0.99718865
AT1G30360.1 | Symbols: ERD4 | Early-responsive to dehydration stress protein (ERD4) | chr1:10715892-10718799 FORWARD LENGTH=724	AT1G30360.1	AT1G30360.1	24.32389	24.54528	24.6397	24.90035	18.67761	23.20274	21.64632	22.14439	3.184539318	0.017233139
AT1G30380.1 | Symbols: PSAK | photosystem I subunit K | chr1:10722325-10723013 FORWARD LENGTH=130	AT1G30380.1	AT1G30380.1	26.079	27.69896	28.11212	29.17086	25.90323	25.95522	25.43148	19.37207	3.599733353	0.082088629
"AT1G30400.2 | Symbols: ATMRP1, EST1, ABCC1 | multidrug resistance-associated protein 1 | chr1:10728139-10737697 FORWARD LENGTH=1622;AT1G30400.1 | Symbols: ATMRP1, EST1, ABCC1, ATABCC1, MRP1 | multidrug resistance-associated protein 1 | chr1:10728139-107376"	AT1G30400.2;AT1G30400.1;AT2G34660.2;AT2G34660.1	AT1G30400.2;AT1G30400.1;AT2G34660.2;AT2G34660.1	18.57152	19.88743	19.19726	19.44656	20.54327	22.15112	21.78624	22.65569	-2.508390427	0.003142646
AT1G30470.3 | Symbols:  | SIT4 phosphatase-associated family protein | chr1:10779435-10786415 FORWARD LENGTH=764;AT1G30470.2 | Symbols:  | SIT4 phosphatase-associated family protein | chr1:10779435-10786415 FORWARD LENGTH=805;AT1G30470.1 | Symbols:  | SIT4	AT1G30470.3;AT1G30470.2;AT1G30470.1	AT1G30470.3;AT1G30470.2;AT1G30470.1	25.65742	25.44572	25.03288	24.848	20.72092	20.80021	19.74009	22.01652	4.426569462	0.000117785
AT1G30580.1 | Symbols:  | GTP binding | chr1:10831953-10835454 REVERSE LENGTH=394	AT1G30580.1	AT1G30580.1	21.92281	22.85293	21.95745	21.37119	21.18507	21.38453	19.10248	21.03966	1.348158836	0.069890647
AT1G30630.1 | Symbols:  | Coatomer epsilon subunit | chr1:10858546-10860173 REVERSE LENGTH=292	AT1G30630.1;AT2G34840.2;AT2G34840.1	AT1G30630.1	25.90182	25.16331	25.92332	25.33077	25.26406	25.06558	24.51725	25.50376	0.492141724	0.137023737
AT1G30680.1 | Symbols:  | toprim domain-containing protein | chr1:10881665-10886060 FORWARD LENGTH=709	AT1G30680.1	AT1G30680.1	22.86491	22.73983	22.6459	20.77354	23.06876	23.3927	22.94421	23.98216	-1.090909958	0.093483746
"AT1G31230.1 | Symbols: AK-HSDH I, AK-HSDH | aspartate kinase-homoserine dehydrogenase i | chr1:11158744-11163055 REVERSE LENGTH=911"	AT1G31230.1	AT1G31230.1	25.15515	24.39696	24.06431	24.08651	23.74684	19.84859	21.686	19.92923	3.123066902	0.016889048
AT1G31330.1 | Symbols: PSAF | photosystem I subunit F | chr1:11215011-11215939 REVERSE LENGTH=221	AT1G31330.1	AT1G31330.1	29.43551	29.03223	29.23256	29.21572	27.81348	28.59875	28.11966	28.35578	1.007089138	0.001677927
AT1G31730.1 | Symbols:  | Adaptin family protein | chr1:11359907-11363916 FORWARD LENGTH=938	AT1G31730.1	AT1G31730.1	23.14846	22.10037	22.34294	21.33129	19.1068	20.57833	19.7684	23.64559	1.455982685	0.222744367
AT1G32050.1 | Symbols:  | SCAMP family protein | chr1:11528616-11530974 FORWARD LENGTH=264	AT1G32050.1	AT1G32050.1	22.58043	22.43059	21.91816	22.07395	19.6799	19.99185	21.91772	19.55678	1.964219093	0.013939796
AT1G32060.1 | Symbols: PRK | phosphoribulokinase | chr1:11532668-11534406 FORWARD LENGTH=395	AT1G32060.1	AT1G32060.1	28.51318	28.21716	28.18182	27.81623	27.43269	26.87361	26.92513	27.38443	1.028131485	0.002441358
AT1G32220.1 | Symbols:  | NAD(P)-binding Rossmann-fold superfamily protein | chr1:11608038-11609591 FORWARD LENGTH=296	AT1G32220.1	AT1G32220.1	23.69254	23.65218	23.17528	23.0553	22.96776	19.80825	19.06294	22.31976	2.354149342	0.049932238
"AT1G32440.1 | Symbols: PKp3 | plastidial pyruvate kinase 3 | chr1:11712205-11714963 FORWARD LENGTH=571;AT5G52920.1 | Symbols: PKP1, PKP-BETA1, PKP2 | plastidic pyruvate kinase beta subunit 1 | chr5:21463680-21466612 FORWARD LENGTH=579"	AT1G32440.1;AT5G52920.1	AT1G32440.1;AT5G52920.1	20.06013	19.84688	19.89912	20.11617	20.13447	20.15066	20.00556	20.24739	-0.153944969	0.106300807
"AT1G32500.1 | Symbols: ATNAP6, NAP6 | non-intrinsic ABC protein 6 | chr1:11750091-11751994 REVERSE LENGTH=475"	AT1G32500.1	AT1G32500.1	23.76911	23.49984	24.76203	24.53208	19.67189	21.6712	20.47658	22.29342	3.112490177	0.003300763
AT1G32550.1 | Symbols: FdC1 | 2Fe-2S ferredoxin-like superfamily protein | chr1:11771969-11774117 REVERSE LENGTH=181;AT1G32550.2 | Symbols: FdC1 | 2Fe-2S ferredoxin-like superfamily protein | chr1:11771969-11774117 REVERSE LENGTH=194	AT1G32550.1;AT1G32550.2	AT1G32550.1;AT1G32550.2	23.54026	23.87258	23.33906	23.62856	22.07636	22.91068	20.42187	20.85735	2.028552055	0.012795882
AT1G33140.1 | Symbols: PGY2 | Ribosomal protein L6 family | chr1:12023360-12024502 FORWARD LENGTH=194;AT1G33120.1 | Symbols:  | Ribosomal protein L6 family | chr1:12010986-12012223 FORWARD LENGTH=194	AT1G33140.1;AT1G33120.1	AT1G33140.1;AT1G33120.1	28.84497	29.022	28.91667	28.53115	28.84694	28.1784	28.35018	28.17417	0.441271782	0.059772498
AT1G33290.1 | Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:12074125-12075989 FORWARD LENGTH=379;AT1G33290.2 | Symbols:  | P-loop containing nucleoside triphosphate hydrolases superfamily protein | chr1:1207412	AT1G33290.1;AT1G33290.2	AT1G33290.1;AT1G33290.2	21.23034	21.41772	21.73533	21.83842	19.99319	19.54221	19.02251	21.68772	1.494048119	0.045606588
AT1G33590.1 | Symbols:  | Leucine-rich repeat (LRR) family protein | chr1:12177788-12179221 FORWARD LENGTH=477	AT1G33590.1	AT1G33590.1	22.21294	21.67051	22.08729	21.70662	19.997	23.70187	23.23415	23.05691	-0.578142643	0.52429377
"AT1G33810.1 | Symbols:  | unknown protein;FUNCTIONS IN: molecular_function unknown;INVOLVED IN: biological_process unknown;LOCATED IN: chloroplast thylakoid membrane, chloroplast, chloroplast envelope;EXPRESSED IN: 22 plant structures;EXPRESSED DURING"	AT1G33810.1	AT1G33810.1	22.64201	22.73403	22.06536	22.29589	22.79927	22.27963	22.95571	22.65851	-0.238957405	0.302619779
AT1G34000.1 | Symbols: OHP2 | one-helix protein 2 | chr1:12358151-12358902 REVERSE LENGTH=172	AT1G34000.1	AT1G34000.1	23.0335	22.97097	22.90921	23.84757	21.75511	21.52157	20.71313	22.12733	1.661029339	0.004246782
AT1G34260.1 | Symbols: FAB1D | FORMS APLOID AND BINUCLEATE CELLS 1A | chr1:12485967-12491799 FORWARD LENGTH=1456	AT1G34260.1	AT1G34260.1	22.52299	22.71106	22.79442	22.82124	19.61918	20.22048	20.26797	20.27275	2.617332458	5.21E-06
AT1G34270.1 | Symbols:  | Exostosin family protein | chr1:12492571-12494514 REVERSE LENGTH=477	AT1G34270.1	AT1G34270.1	20.05748	19.66875	19.45232	18.83976	24.76991	28.64794	26.03593	30.03695	-7.868107319	0.000678285
AT1G34750.1 | Symbols:  | Protein phosphatase 2C family protein | chr1:12736386-12737727 REVERSE LENGTH=282	AT1G34750.1	AT1G34750.1	21.86673	21.70666	22.4245	23.1494	19.18689	18.65581	19.05364	21.16521	2.771435261	0.00526994
"AT1G35160.1 | Symbols: GRF4, 14-3-3PHI, GF14 PHI | GF14 protein phi chain | chr1:12867264-12868514 FORWARD LENGTH=267;AT1G35160.2 | Symbols: GF14 PHI | GF14 protein phi chain | chr1:12867264-12868514 FORWARD LENGTH=295"	AT1G35160.1;AT1G35160.2;AT1G34760.2;AT1G34760.1;AT1G26480.1	AT1G35160.1;AT1G35160.2	22.23634	22.95168	22.43036	22.04287	22.02743	20.34244	21.78156	19.6029	1.476731777	0.052357734
AT1G35340.4 | Symbols:  | ATP-dependent protease La (LON) domain protein | chr1:12977768-12979749 FORWARD LENGTH=311;AT1G35340.1 | Symbols:  | ATP-dependent protease La (LON) domain protein | chr1:12977768-12979749 FORWARD LENGTH=316;AT1G35340.3 | Symbols:	AT1G35340.4;AT1G35340.1;AT1G35340.3;AT1G35340.2	AT1G35340.4;AT1G35340.1;AT1G35340.3;AT1G35340.2	22.04333	19.98036	19.93548	18.75967	26.83509	26.24354	26.71201	27.13907	-6.552716732	8.94E-05
"AT1G35620.1 | Symbols: ATPDIL5-2, ATPDI8, PDI8, PDIL5-2 | PDI-like 5-2 | chr1:13156504-13158280 FORWARD LENGTH=440"	AT1G35620.1	AT1G35620.1	22.45186	21.66219	21.98555	21.71938	20.22846	20.67706	20.56202	19.57829	1.693285942	0.001455862
AT1G35680.1 | Symbols:  | Ribosomal protein L21 | chr1:13208777-13210246 FORWARD LENGTH=220	AT1G35680.1	AT1G35680.1	24.94092	25.54245	25.14659	25.60224	21.24904	24.46083	24.07014	20.33064	2.780384064	0.036357684
"AT1G35720.1 | Symbols: ANNAT1, OXY5, ATOXY5 | annexin 1 | chr1:13225304-13226939 FORWARD LENGTH=317"	AT1G35720.1	AT1G35720.1	27.28657	27.00838	26.83798	26.89643	24.36112	23.38811	21.76393	22.96016	3.889010906	0.000390695
"AT1G36160.2 | Symbols: ACC1 | acetyl-CoA carboxylase 1 | chr1:13534196-13543773 FORWARD LENGTH=2254;AT1G36160.1 | Symbols: ACC1, AT-ACC1, EMB22, GK, PAS3 | acetyl-CoA carboxylase 1 | chr1:13534196-13543773 FORWARD LENGTH=2254"	AT1G36160.2;AT1G36160.1;AT1G36180.1;AT1G36180.2	AT1G36160.2;AT1G36160.1	25.10526	25.10358	24.91502	23.88753	25.38657	25.19742	24.30556	25.01789	-0.224012852	0.572498364
AT1G41830.1 | Symbols: SKS6 | SKU5-similar 6 | chr1:15603892-15607802 REVERSE LENGTH=542	AT1G41830.1	AT1G41830.1	18.37115	18.41651	20.09786	19.2652	24.14258	25.17607	25.65998	23.88045	-5.677091599	7.01E-05
AT1G42970.1 | Symbols: GAPB | glyceraldehyde-3-phosphate dehydrogenase B subunit | chr1:16127552-16129584 FORWARD LENGTH=447	AT1G42970.1	AT1G42970.1	32.61037	32.61261	31.99345	31.73449	31.16501	31.04479	30.68395	30.75994	1.324305534	0.001829028
AT1G43170.9 | Symbols: RP1 | ribosomal protein 1 | chr1:16266992-16268631 FORWARD LENGTH=389;AT1G43170.8 | Symbols: RP1 | ribosomal protein 1 | chr1:16266992-16268631 FORWARD LENGTH=389;AT1G43170.7 | Symbols: RP1 | ribosomal protein 1 | chr1:16266992-16268	AT1G43170.9;AT1G43170.8;AT1G43170.7;AT1G43170.6;AT1G43170.5;AT1G43170.3;AT1G43170.2;AT1G43170.1;AT1G43170.4;AT1G61580.1	AT1G43170.9;AT1G43170.8;AT1G43170.7;AT1G43170.6;AT1G43170.5;AT1G43170.3;AT1G43170.2;AT1G43170.1;AT1G43170.4	23.53943	23.78277	23.71492	23.50337	24.46051	23.5798	22.52655	22.62288	0.337685585	0.490344801
AT1G43670.1 | Symbols:  | Inositol monophosphatase family protein | chr1:16468184-16470347 FORWARD LENGTH=341	AT1G43670.1	AT1G43670.1	21.34397	21.72159	21.55248	21.3437	19.46336	20.77153	19.55247	19.72228	1.613026619	0.002223298
AT1G43690.1 | Symbols:  | ubiquitin interaction motif-containing protein | chr1:16478519-16482589 FORWARD LENGTH=599	AT1G43690.1	AT1G43690.1	19.23964	20.55675	20.70193	20.43614	19.86362	20.64217	20.24488	21.04053	-0.214187622	0.628876587
